date,home_team,away_team,home_goals,away_goals
2025-09-16T16:45:00Z,Athletic Club,Arsenal FC,0,2
2025-09-16T16:45:00Z,PSV,Royale Union Saint-Gilloise,1,3
2025-09-16T19:00:00Z,Juventus FC,Borussia Dortmund,4,4
2025-09-16T19:00:00Z,Sport Lisboa e Benfica,Qarabağ Ağdam FK,2,3
2025-09-16T19:00:00Z,Tottenham Hotspur FC,Villarreal CF,1,0
2025-09-16T19:00:00Z,Real Madrid CF,Olympique de Marseille,2,1
2025-09-17T16:45:00Z,SK Slavia Praha,FK Bodø/Glimt,2,2
2025-09-17T16:45:00Z,PAE Olympiakos SFP,Paphos FC,0,0
2025-09-17T19:00:00Z,AFC Ajax,FC Internazionale Milano,0,2
2025-09-17T19:00:00Z,Liverpool FC,Club Atlético de Madrid,3,2
2025-09-17T19:00:00Z,Paris Saint-Germain FC,Atalanta BC,4,0
2025-09-17T19:00:00Z,FC Bayern München,Chelsea FC,3,1
2025-09-18T16:45:00Z,FC København,Bayer 04 Leverkusen,2,2
2025-09-18T16:45:00Z,Club Brugge KV,AS Monaco FC,4,1
2025-09-18T19:00:00Z,Newcastle United FC,FC Barcelona,1,2
2025-09-18T19:00:00Z,Manchester City FC,SSC Napoli,2,0
2025-09-18T19:00:00Z,Eintracht Frankfurt,Galatasaray SK,5,1
2025-09-18T19:00:00Z,Sporting Clube de Portugal,FK Kairat,4,1
2025-09-30T16:45:00Z,Atalanta BC,Club Brugge KV,2,1
2025-09-30T16:45:00Z,FK Kairat,Real Madrid CF,0,5
2025-09-30T19:00:00Z,Galatasaray SK,Liverpool FC,1,0
2025-09-30T19:00:00Z,Club Atlético de Madrid,Eintracht Frankfurt,5,1
2025-09-30T19:00:00Z,Olympique de Marseille,AFC Ajax,4,0
2025-09-30T19:00:00Z,FK Bodø/Glimt,Tottenham Hotspur FC,2,2
2025-09-30T19:00:00Z,Paphos FC,FC Bayern München,1,5
2025-09-30T19:00:00Z,Chelsea FC,Sport Lisboa e Benfica,1,0
2025-09-30T19:00:00Z,FC Internazionale Milano,SK Slavia Praha,3,0
2025-10-01T16:45:00Z,Qarabağ Ağdam FK,FC København,2,0
2025-10-01T16:45:00Z,Royale Union Saint-Gilloise,Newcastle United FC,0,4
2025-10-01T19:00:00Z,Borussia Dortmund,Athletic Club,4,1
2025-10-01T19:00:00Z,FC Barcelona,Paris Saint-Germain FC,1,2
2025-10-01T19:00:00Z,AS Monaco FC,Manchester City FC,2,2
2025-10-01T19:00:00Z,Bayer 04 Leverkusen,PSV,1,1
2025-10-01T19:00:00Z,Arsenal FC,PAE Olympiakos SFP,2,0
2025-10-01T19:00:00Z,Villarreal CF,Juventus FC,2,2
2025-10-01T19:00:00Z,SSC Napoli,Sporting Clube de Portugal,2,1
2025-10-21T16:45:00Z,FC Barcelona,PAE Olympiakos SFP,6,1
2025-10-21T16:45:00Z,FK Kairat,Paphos FC,0,0
2025-10-21T19:00:00Z,Royale Union Saint-Gilloise,FC Internazionale Milano,0,4
2025-10-21T19:00:00Z,FC København,Borussia Dortmund,2,4
2025-10-21T19:00:00Z,Bayer 04 Leverkusen,Paris Saint-Germain FC,2,7
2025-10-21T19:00:00Z,Villarreal CF,Manchester City FC,0,2
2025-10-21T19:00:00Z,Arsenal FC,Club Atlético de Madrid,4,0
2025-10-21T19:00:00Z,Newcastle United FC,Sport Lisboa e Benfica,3,0
2025-10-21T19:00:00Z,PSV,SSC Napoli,6,2
2025-10-22T16:45:00Z,Galatasaray SK,FK Bodø/Glimt,3,1
2025-10-22T16:45:00Z,Athletic Club,Qarabağ Ağdam FK,3,1
2025-10-22T19:00:00Z,Eintracht Frankfurt,Liverpool FC,1,5
2025-10-22T19:00:00Z,Atalanta BC,SK Slavia Praha,0,0
2025-10-22T19:00:00Z,Sporting Clube de Portugal,Olympique de Marseille,2,1
2025-10-22T19:00:00Z,AS Monaco FC,Tottenham Hotspur FC,0,0
2025-10-22T19:00:00Z,FC Bayern München,Club Brugge KV,4,0
2025-10-22T19:00:00Z,Chelsea FC,AFC Ajax,5,1
2025-10-22T19:00:00Z,Real Madrid CF,Juventus FC,1,0
2025-11-04T17:45:00Z,SK Slavia Praha,Arsenal FC,0,3
2025-11-04T17:45:00Z,SSC Napoli,Eintracht Frankfurt,0,0
2025-11-04T20:00:00Z,Juventus FC,Sporting Clube de Portugal,1,1
2025-11-04T20:00:00Z,Club Atlético de Madrid,Royale Union Saint-Gilloise,3,1
2025-11-04T20:00:00Z,Tottenham Hotspur FC,FC København,4,0
2025-11-04T20:00:00Z,FK Bodø/Glimt,AS Monaco FC,0,1
2025-11-04T20:00:00Z,PAE Olympiakos SFP,PSV,1,1
2025-11-04T20:00:00Z,Paris Saint-Germain FC,FC Bayern München,1,2
2025-11-04T20:00:00Z,Liverpool FC,Real Madrid CF,1,0
2025-11-05T17:45:00Z,Paphos FC,Villarreal CF,1,0
2025-11-05T17:45:00Z,Qarabağ Ağdam FK,Chelsea FC,2,2
2025-11-05T20:00:00Z,FC Internazionale Milano,FK Kairat,2,1
2025-11-05T20:00:00Z,Manchester City FC,Borussia Dortmund,4,1
2025-11-05T20:00:00Z,Club Brugge KV,FC Barcelona,3,3
2025-11-05T20:00:00Z,Sport Lisboa e Benfica,Bayer 04 Leverkusen,0,1
2025-11-05T20:00:00Z,Olympique de Marseille,Atalanta BC,0,1
2025-11-05T20:00:00Z,AFC Ajax,Galatasaray SK,0,3
2025-11-05T20:00:00Z,Newcastle United FC,Athletic Club,2,0
2025-11-25T17:45:00Z,AFC Ajax,Sport Lisboa e Benfica,0,2
2025-11-25T17:45:00Z,Galatasaray SK,Royale Union Saint-Gilloise,0,1
2025-11-25T20:00:00Z,Borussia Dortmund,Villarreal CF,4,0
2025-11-25T20:00:00Z,Manchester City FC,Bayer 04 Leverkusen,0,2
2025-11-25T20:00:00Z,FK Bodø/Glimt,Juventus FC,2,3
2025-11-25T20:00:00Z,Olympique de Marseille,Newcastle United FC,2,1
2025-11-25T20:00:00Z,SK Slavia Praha,Athletic Club,0,0
2025-11-25T20:00:00Z,SSC Napoli,Qarabağ Ağdam FK,2,0
2025-11-25T20:00:00Z,Chelsea FC,FC Barcelona,3,0
2025-11-26T17:45:00Z,Paphos FC,AS Monaco FC,2,2
2025-11-26T17:45:00Z,FC København,FK Kairat,3,2
2025-11-26T20:00:00Z,Liverpool FC,PSV,1,4
2025-11-26T20:00:00Z,Paris Saint-Germain FC,Tottenham Hotspur FC,5,3
2025-11-26T20:00:00Z,Eintracht Frankfurt,Atalanta BC,0,3
2025-11-26T20:00:00Z,Sporting Clube de Portugal,Club Brugge KV,3,0
2025-11-26T20:00:00Z,Arsenal FC,FC Bayern München,3,1
2025-11-26T20:00:00Z,PAE Olympiakos SFP,Real Madrid CF,3,4
2025-11-26T20:00:00Z,Club Atlético de Madrid,FC Internazionale Milano,2,1
2025-12-09T15:30:00Z,FK Kairat,PAE Olympiakos SFP,0,1
2025-12-09T17:45:00Z,FC Bayern München,Sporting Clube de Portugal,3,1
2025-12-09T20:00:00Z,FC Barcelona,Eintracht Frankfurt,2,1
2025-12-09T20:00:00Z,PSV,Club Atlético de Madrid,2,3
2025-12-09T20:00:00Z,Royale Union Saint-Gilloise,Olympique de Marseille,2,3
2025-12-09T20:00:00Z,Tottenham Hotspur FC,SK Slavia Praha,3,0
2025-12-09T20:00:00Z,AS Monaco FC,Galatasaray SK,1,0
2025-12-09T20:00:00Z,Atalanta BC,Chelsea FC,2,1
2025-12-09T20:00:00Z,FC Internazionale Milano,Liverpool FC,0,1
2025-12-10T17:45:00Z,Villarreal CF,FC København,2,3
2025-12-10T17:45:00Z,Qarabağ Ağdam FK,AFC Ajax,2,4
2025-12-10T20:00:00Z,Borussia Dortmund,FK Bodø/Glimt,2,2
2025-12-10T20:00:00Z,Athletic Club,Paris Saint-Germain FC,0,0
2025-12-10T20:00:00Z,Bayer 04 Leverkusen,Newcastle United FC,2,2
2025-12-10T20:00:00Z,Club Brugge KV,Arsenal FC,0,3
2025-12-10T20:00:00Z,Sport Lisboa e Benfica,SSC Napoli,2,0
2025-12-10T20:00:00Z,Juventus FC,Paphos FC,2,0
2025-12-10T20:00:00Z,Real Madrid CF,Manchester City FC,1,2
